Barangay_key,CaseCount
talomo,1362
bucana,1236
buhangin,1187
matina crossing,902
ma a,868
sasa,842
cabantian,741
barangay 19 b,706
catalunan grande,676
panacan,617
tibungco,518
matina aplaya,488
calinan,467
tigatto,440
alfonso angliongto sr,436
toril,436
mintal,407
indangan,392
catalunan pequeno,384
daliao,382
bago gallera,325
bunawan,321
baliok,294
bago aplaya,284
tacunan,280
pampanga,267
ilang,253
agdao,253
lizada,252
dumoy,247
lubogan,235
marilog,231
barangay 5 a,230
santo nino,228
mandug,214
communal,213
matina pangi,203
rafael castillo,196
barangay 23 c,181
wilfredo aquino,180
tugbok,178
san antonio,176
centro,175
barangay 31 d,171
barangay 8 a,169
leon garcia sr,161
los amigos,152
malagos,144
barangay 21 c,144
crossing bayabas,141
lapu lapu,139
barangay 9 a,139
tamugan,139
binugao,136
bato,132
alejandra navarro,130
sirawan,130
gov paciano bangoy,127
kap tomas monteverde sr,125
baguio,124
barangay 22 c,120
gov vicente duterte,114
barangay 10 a,113
barangay 37 d,112
gumalang,105
marapangi,99
barangay 7 a,97
bangkas heights,97
dacudao,93
barangay 2 a,90
talomo river,90
barangay 18 b,87
tamayong,85
lacson,81
paquibato,81
barangay 15 b,80
tawan tawan,78
sirib,76
ubalde,76
barangay 27 c,72
riverside,71
mulig,71
malabog,70
wangan,69
bago oshiro,68
tagakpan,67
barangay 24 c,58
barangay 1 a,57
waan,57
barangay 39 d,56
ula,56
tibuloy,55
barangay 20 b,54
barangay 26 c,54
manuel guianga,51
barangay 32 d,50
tungakalan,50
tambobong,49
vicente hizon sr,49
barangay 33 d,48
subasta,47
barangay 16 b,47
wines,47
barangay 40 d,46
baracatan,46
langub,46
callawa,46
barangay 28 c,45
cadalian,45
barangay 11 b,44
suawan,43
magtuod,42
lamanan,42
salaysay,42
sibulan,41
barangay 38 d,39
mahayag,39
inayangan,39
catigan,39
bayabas,38
barangay 6 a,36
biao escuela,36
eden,36
carmen,35
barangay 12 b,33
new valencia,33
barangay 14 b,33
lumiad,32
biao guianga,32
alambre,32
malamba,31
buda,31
biao joaquin,30
mudiang,30
acacia,30
angalan,30
daliaon plantation,29
cawayan,29
barangay 4 a,29
matina biao,27
talandang,27
barangay 36 d,27
tagurano,26
manambulan,23
barangay 25 c,22
paradise embak,22
san isidro,22
barangay 17 b,21
barangay 30 c,21
pangyan,20
magsaysay,20
sumimao,20
gatungan,20
new carmen,20
barangay 34 d,20
fatima,20
kilate,19
barangay 29 c,18
lampianao,18
dominga,17
colosas,16
atan awe,16
pandaitan,15
bantol,15
barangay 35 d,14
barangay 3 a,13
dalag,12
baganihan,11
mabuhay,11
megkawayan,11
camansi,10
balengaeng,10
panalum,9
gumitan,9
tagluno,8
mapula,8
salapawan,8
saloy,7
barangay 13 b,6
datu salumay,5
tapak,5
dalagdag,4
