Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
acacia,0.41830245201293154,0.28692681478540544,1.911448064038015,136.0,131.0,67.0,111.33333333333333
agdao,1.2418055901781526,1.0174439803543418,1.1397998836664578,45.0,44.0,149.0,79.33333333333333
alambre,0.6284984924162876,0.2608698112774088,1.9728422079198364,97.0,139.0,26.0,87.33333333333333
alejandra navarro,1.053294774969526,0.9247095212111458,1.5038856047038567,54.0,49.0,130.0,77.66666666666667
alfonso angliongto sr,1.2512591811790723,0.9936037636004721,1.2695144556453792,44.0,45.0,145.0,78.0
angalan,0.6122236220728159,0.4504520234136054,1.8124207497242444,99.0,91.0,99.0,96.33333333333333
atan awe,0.31180057853690557,0.19841460580485337,1.9685485671726106,160.0,152.0,28.0,113.33333333333333
baganihan,0.38782527750867896,0.15485866155527672,1.982515912498385,143.0,163.0,21.0,109.0
bago aplaya,1.7270106975157298,1.4839087269558522,1.2071175687019569,25.0,22.0,146.0,64.33333333333333
bago gallera,2.1738707677917084,1.518231406699816,0.8103892683818539,16.0,19.0,172.0,69.0
bago oshiro,0.8549131305781812,0.5978462456647413,1.7508646007116648,68.0,75.0,105.0,82.66666666666667
baguio,1.6546427212674517,1.14437876010006,1.1234463066391147,29.0,35.0,151.0,71.66666666666667
balengaeng,0.3981523988656155,0.2646081527038739,1.9611156167983455,139.0,138.0,35.0,104.0
baliok,1.6868792155576466,1.3289350488458092,1.1434075253290068,28.0,25.0,148.0,67.0
bangkas heights,1.0573225511023283,0.7278391876458836,1.5810298104494314,53.0,58.0,123.0,78.0
bantol,0.32477150512623015,0.3094878612301721,1.9679628512221299,159.0,123.0,29.0,103.66666666666667
baracatan,0.5416530432503169,0.2862904846405972,1.9451381482486114,111.0,133.0,50.0,98.0
barangay 1 a,0.5800732109805556,0.3477800739270354,1.9100336329609073,103.0,112.0,70.0,95.0
barangay 10 a,0.7752084912704005,0.6041797339555048,1.7123047252354686,77.0,74.0,110.0,87.0
barangay 11 b,0.5157430467827996,0.27548578099292365,1.9284213091309634,115.0,135.0,56.0,102.0
barangay 12 b,0.30099429188858845,0.13839484111982767,1.9788870985393505,162.0,170.0,22.0,118.0
barangay 13 b,0.15099250671676864,0.05504593453776864,1.9978032822210734,181.0,181.0,1.0,121.0
barangay 14 b,0.26105460679327214,0.18276938980891386,1.9666667293145244,167.0,158.0,30.0,118.33333333333333
barangay 15 b,0.47246635587794933,0.3414150698344681,1.9177975955875628,127.0,115.0,61.0,101.0
barangay 16 b,0.327374577713167,0.2082338222239782,1.959175246459723,158.0,149.0,39.0,115.33333333333333
barangay 17 b,0.2499554641314289,0.1520348725427752,1.9706217113395885,170.0,164.0,27.0,120.33333333333333
barangay 18 b,0.3608130216955639,0.29592781396393275,1.8885381886758006,150.0,126.0,81.0,119.0
barangay 19 b,2.2392814633099944,1.9431786100775068,0.9316486881592462,15.0,13.0,162.0,63.333333333333336
