Barangay_key,n_raw_names
vicente hizon sr,5
alfonso angliongto sr,3
catalunan pequeno,3
dalag,3
buhangin,3
matina crossing,3
wilfredo aquino,3
matina pangi,3
talomo,3
tugbok,3
bago oshiro,2
baguio,2
balengaeng,2
bago gallera,2
atan awe,2
baganihan,2
bago aplaya,2
acacia,2
agdao,2
alambre,2
alejandra navarro,2
angalan,2
barangay 29 c,2
barangay 15 b,2
barangay 16 b,2
barangay 17 b,2
barangay 18 b,2
barangay 19 b,2
barangay 2 a,2
barangay 20 b,2
barangay 21 c,2
barangay 22 c,2
barangay 23 c,2
barangay 24 c,2
barangay 25 c,2
barangay 26 c,2
barangay 27 c,2
barangay 28 c,2
barangay 4 a,2
barangay 30 c,2
barangay 31 d,2
barangay 32 d,2
barangay 34 d,2
barangay 33 d,2
barangay 35 d,2
baliok,2
bangkas heights,2
bantol,2
baracatan,2
barangay 1 a,2
barangay 10 a,2
barangay 11 b,2
barangay 12 b,2
barangay 14 b,2
malagos,2
malabog,2
barangay 40 d,2
barangay 6 a,2
barangay 39 d,2
barangay 38 d,2
barangay 37 d,2
barangay 5 a,2
barangay 36 d,2
binugao,2
biao joaquin,2
barangay 7 a,2
bayabas,2
biao escuela,2
barangay 9 a,2
barangay 8 a,2
calinan,2
cadalian,2
carmen,2
callawa,2
catalunan grande,2
catigan,2
cawayan,2
camansi,2
centro,2
colosas,2
bucana,2
buda,2
bunawan,2
cabantian,2
biao guianga,2
bato,2
datu salumay,2
dominga,2
dumoy,2
eden,2
fatima,2
gatungan,2
gov paciano bangoy,2
gov vicente duterte,2
gumalang,2
gumitan,2
ilang,2
inayangan,2
indangan,2
kap tomas monteverde sr,2
kilate,2
lacson,2
lamanan,2
lampianao,2
langub,2
lapu lapu,2
leon garcia sr,2
lizada,2
los amigos,2
lubogan,2
lumiad,2
ma a,2
crossing bayabas,2
communal,2
dacudao,2
dalagdag,2
daliao,2
daliaon plantation,2
tambobong,2
santo nino,2
mahayag,2
magtuod,2
magsaysay,2
mabuhay,2
malamba,2
manambulan,2
matina aplaya,2
marilog,2
matina biao,2
megkawayan,2
mapula,2
marapangi,2
mandug,2
manuel guianga,2
new valencia,2
pampanga,2
panacan,2
pandaitan,2
paquibato,2
pangyan,2
paradise embak,2
rafael castillo,2
saloy,2
riverside,2
salapawan,2
salaysay,2
mintal,2
mudiang,2
mulig,2
new carmen,2
toril,2
tamayong,2
san antonio,2
san isidro,2
suawan,2
sasa,2
sirawan,2
sibulan,2
tacunan,2
tagakpan,2
tagurano,2
tagluno,2
talandang,2
subasta,2
sumimao,2
sirib,2
ula,2
tigatto,2
talomo river,2
tamugan,2
tibuloy,2
tibungco,2
tawan tawan,2
tapak,2
wangan,2
waan,2
ubalde,2
tungakalan,2
wines,2
barangay 13 b,1
barangay 3 a,1
panalum,1
