Barangay_standardized,ds,local_forecast
alfonso angliongto sr.,2023-01-02,0.22259866072658924
alfonso angliongto sr.,2023-01-09,0.31753963456512213
alfonso angliongto sr.,2023-01-16,0.39062556381428365
alfonso angliongto sr.,2023-01-23,0.4468873951211531
alfonso angliongto sr.,2023-01-30,0.49019797069324866
alfonso angliongto sr.,2023-02-06,0.5235386194566167
alfonso angliongto sr.,2023-02-13,0.5492043799615052
alfonso angliongto sr.,2023-02-20,0.5689619817697235
alfonso angliongto sr.,2023-02-27,0.5841714601382978
alfonso angliongto sr.,2023-03-06,0.5958797754738112
alfonso angliongto sr.,2023-03-13,0.6048928819508264
alfonso angliongto sr.,2023-03-20,0.6118312062133793
alfonso angliongto sr.,2023-03-27,0.6171723550941891
alfonso angliongto sr.,2023-04-03,0.6212839921822603
alfonso angliongto sr.,2023-04-10,0.624449146331912
alfonso angliongto sr.,2023-04-17,0.6268856942510175
alfonso angliongto sr.,2023-04-24,0.6287613582728633
alfonso angliongto sr.,2023-05-01,0.6302052516989931
alfonso angliongto sr.,2023-05-08,0.6313167664488305
alfonso angliongto sr.,2023-05-15,0.6321724148067689
alfonso angliongto sr.,2023-05-22,0.6328310962255713
alfonso angliongto sr.,2023-05-29,0.633338151732019
alfonso angliongto sr.,2023-06-05,0.6337284850240775
alfonso angliongto sr.,2023-06-12,0.6340289651035793
alfonso angliongto sr.,2023-06-19,0.6342602758321653
alfonso angliongto sr.,2023-06-26,0.6344383397266093
alfonso angliongto sr.,2023-07-03,0.6345754140019723
alfonso angliongto sr.,2023-07-10,0.6346809343098647
alfonso angliongto sr.,2023-07-17,0.6347621642514293
alfonso angliongto sr.,2023-07-24,0.6348246953749481
alfonso angliongto sr.,2023-07-31,0.6348728320759381
alfonso angliongto sr.,2023-08-07,0.6349098878947338
alfonso angliongto sr.,2023-08-14,0.6349384136075138
alfonso angliongto sr.,2023-08-21,0.6349603728116564
alfonso angliongto sr.,2023-08-28,0.6349772770920261
alfonso angliongto sr.,2023-09-04,0.634990290072504
alfonso angliongto sr.,2023-09-11,0.6350003075152588
alfonso angliongto sr.,2023-09-18,0.6350080189814766
alfonso angliongto sr.,2023-09-25,0.6350139552980281
alfonso angliongto sr.,2023-10-02,0.6350185250974933
alfonso angliongto sr.,2023-10-09,0.6350220429468149
alfonso angliongto sr.,2023-10-16,0.6350247510008428
alfonso angliongto sr.,2023-10-23,0.6350268356713183
alfonso angliongto sr.,2023-10-30,0.6350284404587219
alfonso angliongto sr.,2023-11-06,0.6350296758302784
alfonso angliongto sr.,2023-11-13,0.6350306268240856
alfonso angliongto sr.,2023-11-20,0.6350313589028005
alfonso angliongto sr.,2023-11-27,0.6350319224598296
alfonso angliongto sr.,2023-12-04,0.6350323562882126
alfonso angliongto sr.,2023-12-11,0.6350326902509815
alfonso angliongto sr.,2023-12-18,0.635032947336814
alfonso angliongto sr.,2023-12-25,0.6350331452424833
alfonso angliongto sr.,2024-01-01,0.6350332975910338
alfonso angliongto sr.,2024-01-08,0.6350334148695378
alfonso angliongto sr.,2024-01-15,0.6350335051509842
alfonso angliongto sr.,2024-01-22,0.6350335746499912
alfonso angliongto sr.,2024-01-29,0.6350336281505959
alfonso angliongto sr.,2024-02-05,0.6350336693355686
alfonso angliongto sr.,2024-02-12,0.63503370103992
alfonso angliongto sr.,2024-02-19,0.6350337254460524
alfonso angliongto sr.,2024-02-26,0.6350337442339876
alfonso angliongto sr.,2024-03-04,0.635033758697013
alfonso angliongto sr.,2024-03-11,0.6350337698307058
alfonso angliongto sr.,2024-03-18,0.6350337784014657
alfonso angliongto sr.,2024-03-25,0.6350337849992699
alfonso angliongto sr.,2024-04-01,0.6350337900782851
alfonso angliongto sr.,2024-04-08,0.6350337939881306
alfonso angliongto sr.,2024-04-15,0.6350337969979449
alfonso angliongto sr.,2024-04-22,0.6350337993149116
alfonso angliongto sr.,2024-04-29,0.6350338010985215
alfonso angliongto sr.,2024-05-06,0.6350338024715513
alfonso angliongto sr.,2024-05-13,0.6350338035285149
alfonso angliongto sr.,2024-05-20,0.6350338043421696
alfonso angliongto sr.,2024-05-27,0.6350338049685241
alfonso angliongto sr.,2024-06-03,0.6350338054506943
alfonso angliongto sr.,2024-06-10,0.6350338058218707
alfonso angliongto sr.,2024-06-17,0.6350338061076038
alfonso angliongto sr.,2024-06-24,0.6350338063275622
alfonso angliongto sr.,2024-07-01,0.6350338064968871
alfonso angliongto sr.,2024-07-08,0.6350338066272341
alfonso angliongto sr.,2024-07-15,0.6350338067275756
alfonso angliongto sr.,2024-07-22,0.6350338068048189
alfonso angliongto sr.,2024-07-29,0.6350338068642811
alfonso angliongto sr.,2024-08-05,0.6350338069100554
alfonso angliongto sr.,2024-08-12,0.6350338069452925
alfonso angliongto sr.,2024-08-19,0.6350338069724183
alfonso angliongto sr.,2024-08-26,0.6350338069932998
alfonso angliongto sr.,2024-09-02,0.6350338070093745
alfonso angliongto sr.,2024-09-09,0.6350338070217488
alfonso angliongto sr.,2024-09-16,0.6350338070312747
alfonso angliongto sr.,2024-09-23,0.6350338070386077
alfonso angliongto sr.,2024-09-30,0.6350338070442526
alfonso angliongto sr.,2024-10-07,0.6350338070485981
alfonso angliongto sr.,2024-10-14,0.6350338070519433
alfonso angliongto sr.,2024-10-21,0.6350338070545185
alfonso angliongto sr.,2024-10-28,0.6350338070565008
alfonso angliongto sr.,2024-11-04,0.6350338070580268
alfonso angliongto sr.,2024-11-11,0.6350338070592015
alfonso angliongto sr.,2024-11-18,0.6350338070601058
alfonso angliongto sr.,2024-11-25,0.6350338070608019
alfonso angliongto sr.,2024-12-02,0.6350338070613378
alfonso angliongto sr.,2024-12-09,0.6350338070617504
alfonso angliongto sr.,2024-12-16,0.6350338070620679
alfonso angliongto sr.,2024-12-23,0.6350338070623124
alfonso angliongto sr.,2024-12-30,0.6350338070625006
alfonso angliongto sr.,2025-01-06,0.6350338070626455
alfonso angliongto sr.,2025-01-13,0.635033807062757
alfonso angliongto sr.,2025-01-20,0.6350338070628428
alfonso angliongto sr.,2025-01-27,0.6350338070629089
alfonso angliongto sr.,2025-02-03,0.6350338070629598
alfonso angliongto sr.,2025-02-10,0.635033807062999
alfonso angliongto sr.,2025-02-17,0.6350338070630291
alfonso angliongto sr.,2025-02-24,0.6350338070630523
alfonso angliongto sr.,2025-03-03,0.6350338070630702
alfonso angliongto sr.,2025-03-10,0.635033807063084
alfonso angliongto sr.,2025-03-17,0.6350338070630945
alfonso angliongto sr.,2025-03-24,0.6350338070631026
alfonso angliongto sr.,2025-03-31,0.635033807063109
alfonso angliongto sr.,2025-04-07,0.6350338070631139
alfonso angliongto sr.,2025-04-14,0.6350338070631175
alfonso angliongto sr.,2025-04-21,0.6350338070631204
alfonso angliongto sr.,2025-04-28,0.6350338070631226
alfonso angliongto sr.,2025-05-05,0.6350338070631243
alfonso angliongto sr.,2025-05-12,0.6350338070631256
alfonso angliongto sr.,2025-05-19,0.6350338070631266
alfonso angliongto sr.,2025-05-26,0.6350338070631274
alfonso angliongto sr.,2025-06-02,0.635033807063128
alfonso angliongto sr.,2025-06-09,0.6350338070631284
alfonso angliongto sr.,2025-06-16,0.6350338070631287
alfonso angliongto sr.,2025-06-23,0.635033807063129
alfonso angliongto sr.,2025-06-30,0.6350338070631292
alfonso angliongto sr.,2025-07-07,0.6350338070631293
alfonso angliongto sr.,2025-07-14,0.6350338070631294
alfonso angliongto sr.,2025-07-21,0.6350338070631295
alfonso angliongto sr.,2025-07-28,0.6350338070631296
alfonso angliongto sr.,2025-08-04,0.6350338070631297
alfonso angliongto sr.,2025-08-11,0.6350338070631297
