Barangay,TotalCases,NonZeroWeeks,Weeks,Tier,run_id
acacia,22.0,18,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
agdao,218.0,159,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
alambre,25.0,20,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
alejandra navarro,105.0,64,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
alfonso angliongto sr,422.0,167,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
angalan,26.0,25,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
atan awe,17.0,16,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
baganihan,6.0,6,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bago aplaya,291.0,179,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bago gallera,259.0,150,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bago oshiro,57.0,43,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
baguio,70.0,57,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
balengaeng,10.0,10,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
baliok,280.0,146,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bangkas heights,86.0,66,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bantol,26.0,22,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
baracatan,42.0,36,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 1 a,46.0,42,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 10 a,99.0,73,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 11 b,40.0,34,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 12 b,30.0,23,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 13 b,6.0,6,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 14 b,34.0,32,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 15 b,74.0,60,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 16 b,42.0,38,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 17 b,21.0,17,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 18 b,84.0,66,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 19 b,676.0,228,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 2 a,79.0,64,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 20 b,57.0,45,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 21 c,130.0,92,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 22 c,103.0,83,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 23 c,158.0,111,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 24 c,53.0,40,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 25 c,22.0,18,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 26 c,54.0,45,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 27 c,73.0,62,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 28 c,44.0,39,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 29 c,18.0,17,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 3 a,15.0,15,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 30 c,20.0,19,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 31 d,153.0,102,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 32 d,54.0,46,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 33 d,40.0,33,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 34 d,17.0,17,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
