WeekStart,CityCases
2016-12-26,29.0
2017-01-02,73.0
2017-01-09,97.0
2017-01-16,90.0
2017-01-23,69.0
2017-01-30,93.0
2017-02-06,72.0
2017-02-13,68.0
2017-02-20,58.0
2017-02-27,67.0
2017-03-06,49.0
2017-03-13,38.0
2017-03-20,27.0
2017-03-27,33.0
2017-04-03,32.0
2017-04-10,29.0
2017-04-17,30.0
2017-04-24,33.0
2017-05-01,45.0
2017-05-08,34.0
2017-05-15,43.0
2017-05-22,53.0
2017-05-29,40.0
2017-06-05,51.0
2017-06-12,61.0
2017-06-19,62.0
2017-06-26,81.0
2017-07-03,75.0
2017-07-10,72.0
2017-07-17,69.0
2017-07-24,71.0
2017-07-31,82.0
2017-08-07,82.0
2017-08-14,93.0
2017-08-21,73.0
2017-08-28,76.0
2017-09-04,65.0
2017-09-11,42.0
2017-09-18,48.0
2017-09-25,46.0
2017-10-02,23.0
2017-10-09,29.0
2017-10-16,27.0
2017-10-23,26.0
2017-10-30,22.0
2017-11-06,27.0
2017-11-13,28.0
2017-11-20,37.0
2017-11-27,40.0
2017-12-04,40.0
2017-12-11,35.0
2017-12-18,40.0
2017-12-25,47.0
2018-01-01,60.0
2018-01-08,61.0
2018-01-15,42.0
2018-01-22,43.0
2018-01-29,42.0
2018-02-05,38.0
2018-02-12,44.0
2018-02-19,30.0
2018-02-26,43.0
2018-03-05,48.0
2018-03-12,48.0
2018-03-19,24.0
2018-03-26,23.0
2018-04-02,32.0
2018-04-09,14.0
2018-04-16,30.0
2018-04-23,24.0
2018-04-30,33.0
2018-05-07,30.0
2018-05-14,48.0
2018-05-21,31.0
2018-05-28,81.0
2018-06-04,81.0
2018-06-11,99.0
2018-06-18,114.0
2018-06-25,97.0
2018-07-02,99.0
2018-07-09,143.0
2018-07-16,118.0
2018-07-23,138.0
2018-07-30,155.0
2018-08-06,116.0
2018-08-13,130.0
2018-08-20,123.0
2018-08-27,108.0
2018-09-03,90.0
2018-09-10,85.0
2018-09-17,75.0
2018-09-24,73.0
2018-10-01,94.0
2018-10-08,102.0
2018-10-15,103.0
2018-10-22,107.0
2018-10-29,90.0
2018-11-05,121.0
2018-11-12,110.0
2018-11-19,101.0
2018-11-26,84.0
2018-12-03,80.0
2018-12-10,66.0
2018-12-17,61.0
2018-12-24,56.0
2018-12-31,145.0
2019-01-07,166.0
2019-01-14,143.0
2019-01-21,160.0
2019-01-28,147.0
2019-02-04,141.0
2019-02-11,135.0
2019-02-18,124.0
2019-02-25,120.0
2019-03-04,99.0
2019-03-11,98.0
2019-03-18,72.0
2019-03-25,68.0
2019-04-01,54.0
2019-04-08,59.0
2019-04-15,55.0
2019-04-22,35.0
2019-04-29,60.0
2019-05-06,48.0
2019-05-13,52.0
2019-05-20,57.0
2019-05-27,72.0
2019-06-03,94.0
2019-06-10,142.0
2019-06-17,195.0
2019-06-24,213.0
2019-07-01,267.0
2019-07-08,352.0
2019-07-15,340.0
2019-07-22,318.0
2019-07-29,328.0
2019-08-05,300.0
2019-08-12,238.0
2019-08-19,248.0
2019-08-26,224.0
2019-09-02,150.0
2019-09-09,120.0
2019-09-16,135.0
2019-09-23,119.0
2019-09-30,141.0
2019-10-07,115.0
2019-10-14,70.0
2019-10-21,58.0
2019-10-28,78.0
2019-11-04,62.0
2019-11-11,67.0
2019-11-18,100.0
2019-11-25,78.0
2019-12-02,54.0
2019-12-09,83.0
2019-12-16,63.0
2019-12-23,52.0
2019-12-30,88.0
2020-01-06,85.0
2020-01-13,81.0
2020-01-20,58.0
2020-01-27,71.0
2020-02-03,71.0
2020-02-10,70.0
2020-02-17,78.0
2020-02-24,75.0
2020-03-02,72.0
2020-03-09,48.0
2020-03-16,29.0
2020-03-23,26.0
2020-03-30,15.0
2020-04-06,21.0
2020-04-13,11.0
2020-04-20,11.0
2020-04-27,9.0
2020-05-04,11.0
2020-05-11,17.0
2020-05-18,8.0
2020-05-25,21.0
2020-06-01,9.0
2020-06-08,15.0
2020-06-15,26.0
2020-06-22,27.0
2020-06-29,49.0
2020-07-06,32.0
2020-07-13,44.0
2020-07-20,43.0
2020-07-27,46.0
2020-08-03,47.0
2020-08-10,46.0
2020-08-17,42.0
2020-08-24,42.0
2020-08-31,49.0
2020-09-07,58.0
2020-09-14,49.0
2020-09-21,50.0
2020-09-28,26.0
2020-10-05,33.0
2020-10-12,31.0
2020-10-19,42.0
2020-10-26,33.0
2020-11-02,46.0
2020-11-09,56.0
2020-11-16,39.0
2020-11-23,31.0
2020-11-30,23.0
2020-12-07,42.0
2020-12-14,36.0
2020-12-21,21.0
2020-12-28,32.0
2021-01-04,33.0
2021-01-11,37.0
2021-01-18,39.0
2021-01-25,54.0
2021-02-01,75.0
2021-02-08,51.0
