Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
acacia,0.4298764078582767,0.22356236615589958,1.9577647619761072,130.0,129.0,61.0,106.66666666666667
agdao,1.309041441978518,0.9976816166567398,1.3427611958215668,42.0,40.0,148.0,76.66666666666667
alambre,0.6297669266592458,0.24632659741029855,1.9769176865256672,98.0,126.0,39.0,87.66666666666667
alejandra navarro,0.8524675954888807,0.6138915592138722,1.7490431316183772,65.0,58.0,120.0,81.0
alfonso angliongto sr,1.348210590461023,1.118959223960081,1.2537665914253415,41.0,32.0,158.0,77.0
angalan,0.6482025637929212,0.3585587250231264,1.9270824307014476,95.0,94.0,80.0,89.66666666666667
atan awe,0.3045197420958496,0.13195424987084578,1.9845915921254798,159.0,156.0,31.0,115.33333333333333
baganihan,0.39333183623876133,0.11687674538995534,1.9933149823147431,136.0,165.0,16.0,105.66666666666667
bago aplaya,1.3537111660087815,0.9992151871804303,1.2564454963093497,40.0,39.0,157.0,78.66666666666667
bago gallera,2.462346379405415,1.6914076247099894,1.0811187272208027,10.0,13.0,164.0,62.333333333333336
bago oshiro,0.8788501425993177,0.5477645986023687,1.8229084001962041,64.0,73.0,110.0,82.33333333333333
baguio,2.0164080511827147,1.326245366279257,1.6905549423999318,19.0,21.0,127.0,55.666666666666664
balengaeng,0.3825441905311314,0.12088066351850403,1.9915429169655585,139.0,162.0,21.0,107.33333333333333
baliok,1.711173769219709,1.232285322417483,1.2366741229319258,26.0,25.0,159.0,70.0
bangkas heights,1.0896172378562732,0.6718360020443357,1.7071653326678193,48.0,50.0,125.0,74.33333333333333
bantol,0.17773448553380633,0.10919417686632196,1.9876231761352645,176.0,167.0,26.0,123.0
baracatan,0.5379377218820524,0.2847557297895654,1.9391845729477206,111.0,112.0,74.0,99.0
barangay 1 a,0.5714702588350828,0.35167907930562214,1.8952822483428242,106.0,95.0,96.0,99.0
barangay 10 a,0.767120639376603,0.5287856046729938,1.778216146220085,77.0,75.0,117.0,89.66666666666667
barangay 11 b,0.5123237349310804,0.26975643437041474,1.9257330585385113,116.0,119.0,82.0,105.66666666666667
barangay 12 b,0.30023259526091917,0.15886798582011102,1.9711242310546522,161.0,151.0,47.0,119.66666666666667
barangay 13 b,0.15006782557093165,0.04422520515884001,1.9985026409523785,181.0,180.0,2.0,121.0
barangay 14 b,0.25573052028145127,0.1628264245770429,1.9707086691037061,168.0,150.0,49.0,122.33333333333333
barangay 15 b,0.47222702611937856,0.3422439392533126,1.914819350485891,121.0,96.0,89.0,102.0
barangay 16 b,0.3264394273310753,0.20875870919187917,1.9556223815871097,157.0,135.0,63.0,118.33333333333333
barangay 17 b,0.24838636506519818,0.12617465070547126,1.9781097965083674,169.0,160.0,37.0,122.0
barangay 18 b,0.36611675760928236,0.31491905684837507,1.8709473076057157,143.0,100.0,100.0,114.33333333333333
barangay 19 b,1.5090063504402789,1.2378498420351904,0.8108068618708838,38.0,24.0,173.0,78.33333333333333
barangay 2 a,0.47195344155436403,0.3826251937820458,1.8159109154251496,122.0,89.0,112.0,107.66666666666667
barangay 20 b,0.46209886010517404,0.2979384531392207,1.9238391608817,126.0,109.0,83.0,106.0
barangay 21 c,0.7180906561084992,0.554348873844995,1.6724275481210085,84.0,71.0,129.0,94.66666666666667
barangay 22 c,0.7129551117115934,0.5454550788553584,1.7202795506062654,86.0,74.0,122.0,94.0
barangay 23 c,0.785331684368364,0.6121589965952751,1.516790986348722,73.0,59.0,142.0,91.33333333333333
barangay 24 c,0.3683690304420921,0.2479661467319494,1.9411271337365246,142.0,124.0,71.0,112.33333333333333
barangay 25 c,0.20861015298695884,0.11066750286342698,1.9855244176177944,174.0,166.0,30.0,123.33333333333333
barangay 26 c,0.26837128460417214,0.21267017561894194,1.9619531348518957,165.0,133.0,57.0,118.33333333333333
barangay 27 c,0.3592617307855026,0.3023839004222612,1.8914871020107862,146.0,108.0,97.0,117.0
barangay 28 c,0.35152466178442543,0.21848102293073746,1.963699533499175,151.0,132.0,54.0,112.33333333333333
barangay 29 c,0.15471364907902851,0.08026798119033789,1.994599190197989,179.0,173.0,11.0,121.0
barangay 3 a,0.2760390014107268,0.07987619902893628,1.9982281776225959,163.0,174.0,4.0,113.66666666666667
barangay 30 c,0.21283945606473778,0.10708641106089845,1.990276586377195,172.0,168.0,23.0,121.0
barangay 31 d,0.8899382210569452,0.64111767430045,1.5011766932222461,62.0,54.0,144.0,86.66666666666667
barangay 32 d,0.3923128646587146,0.26915402069372335,1.944802592693605,137.0,120.0,68.0,108.33333333333333
barangay 33 d,0.46955717581887035,0.26470362630368083,1.9364946632904287,123.0,121.0,75.0,106.33333333333333
barangay 34 d,0.3759534534638991,0.16614014052192508,1.9782345233780951,141.0,148.0,36.0,108.33333333333333
barangay 35 d,0.17131637031713595,0.07164941062687884,1.9940034606486572,178.0,176.0,13.0,122.33333333333333
barangay 36 d,0.3092090111671974,0.13055084402073666,1.9867287368715991,158.0,157.0,28.0,114.33333333333333
barangay 37 d,0.7821700104578124,0.5665561657141751,1.6963874653408813,74.0,66.0,126.0,88.66666666666667
barangay 38 d,0.352816129444262,0.2063842781097973,1.9685084159082575,150.0,136.0,50.0,112.0
barangay 39 d,0.5126202201528745,0.31090299789345044,1.9009588244262328,115.0,102.0,94.0,103.66666666666667
