barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
acacia,,0.0009845047513055388,22.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
agdao,,0.009374197414604914,218.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
alambre,,0.0011129184145193048,25.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
alejandra navarro,,0.0045372827668863965,105.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
alfonso angliongto sr,,0.018106326513140997,422.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
angalan,,0.0011557229689238935,26.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
atan awe,,0.0007704819792825957,17.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
baganihan,,0.00029963188083212053,6.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bago aplaya,,0.012498929886139886,291.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bago gallera,,0.011129184145193049,259.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bago oshiro,,0.0024826641554661416,57.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
baguio,,0.003039123362725794,70.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
balengaeng,,0.00047085009845047513,10.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
baliok,,0.01202807978768941,280.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bangkas heights,,0.0037239962331992124,86.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bantol,,0.0011557229689238935,26.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
baracatan,,0.0018405958393973118,42.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 10 a,,0.0042804554404588645,99.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 11 b,,0.0017549867305881345,40.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 12 b,,0.0012413320777330708,28.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 13 b,,0.00029963188083212053,6.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 14 b,,0.0014981594041606028,34.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 15 b,,0.0032103415803441484,74.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 16 b,,0.0018405958393973118,42.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 17 b,,0.0009417001969009503,21.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 18 b,,0.003638387124390035,84.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
