Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
baracatan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 1 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 10 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 11 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 12 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 13 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 14 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
barangay 15 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,621b4307-28a6-486e-9716-02435373d348
