Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
acacia,446,39,45.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
agdao,446,233,366.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
alambre,446,34,49.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
alejandra navarro,446,106,169.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
alfonso angliongto sr,446,231,539.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
angalan,446,58,68.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
atan awe,446,26,28.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
baganihan,446,16,19.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
bago aplaya,446,249,428.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
bago gallera,446,258,553.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
bago oshiro,446,87,123.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
baguio,446,139,254.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
balengaeng,446,19,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
baliok,446,226,471.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
bangkas heights,446,119,169.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
bantol,446,26,30.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
baracatan,446,54,67.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 1 a,446,71,82.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 10 a,446,108,151.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 11 b,446,53,65.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 12 b,446,33,41.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 13 b,446,9,9.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 14 b,446,41,43.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 15 b,446,77,96.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 16 b,446,50,55.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 17 b,446,26,30.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 18 b,446,83,102.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
barangay 19 b,446,332,902.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
