Barangay_key,RMSE_local_prophet,RMSE_local_arima,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
barangay 19 b,1.960363405340945,1.8418163465721098,1.4516528735597367,1.1444062614577095,0.9316486855840291,1.1444062614577095,-0.21275757587368038,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
bucana,5.567393102534033,4.812776305688147,1.6376673039436465,0.7796522964113585,0.6223357221482002,0.7796522964113585,-0.15731657426315826,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
buhangin,5.277210308776212,5.493994339266993,1.5793616060788798,1.392548037395183,0.5708121736140825,1.392548037395183,-0.8217358637811005,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
cabantian,2.5474821313626004,2.1621687230702564,1.1645608593689012,0.7326751260028531,0.7694689412760415,0.7326751260028531,0.03679381527318837,local_arima,local_arima,local_beats_disagg_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
catalunan grande,3.291452712568824,2.9556471289208557,1.1446591224056333,0.7163542769884289,0.6646183264395873,0.7163542769884289,-0.051735950548841614,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
ma a,4.12075276403568,4.073401435202239,1.616104503036682,1.3615198252415714,0.7246925591154192,1.3615198252415714,-0.6368272661261523,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
matina crossing,3.882196613484566,2.9179544027554507,1.5475876309182275,0.7072176336780586,0.6802130205116597,0.7072176336780586,-0.027004613166398905,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
panacan,2.2456724680095443,2.5100019744036284,0.7055396389244053,0.7908147572292703,0.7576118288231618,0.7055396389244053,0.052072189898756505,local_prophet,local_prophet,local_beats_disagg_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
sasa,2.3474233264172524,2.303921660880025,0.7942471065838629,0.7411006272938637,0.8250318419076822,0.7411006272938637,0.08393121461381847,local_arima,local_arima,local_beats_disagg_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
talomo,5.669267333398622,4.689249519975733,1.3601635784400066,0.6640505244842181,0.6652512799204503,0.6640505244842181,0.0012007554362322148,local_arima,disagg,default_disagg_or_local_not_better_by_margin(0.03),ok,,,afcc0a02-be07-415f-ad7a-57839034e31a
