Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
baracatan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 1 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 10 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 11 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 12 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 13 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 14 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 15 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 16 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 17 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 18 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 19 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 2 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 20 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 21 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 22 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 23 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 24 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 25 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 26 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 27 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 28 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 29 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,21b2c126-b7ef-41d0-9399-8f12776cffcc
