Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
baracatan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 1 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 10 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 11 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 12 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 13 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 14 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 15 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 16 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 17 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 18 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 19 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 2 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 20 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 21 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 22 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 23 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 24 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 25 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 26 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 27 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 28 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 29 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 3 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 30 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 31 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 32 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 33 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 34 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 35 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 36 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 37 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 38 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 39 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 4 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 40 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 5 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 6 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 7 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 8 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
barangay 9 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bato,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bayabas,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
biao escuela,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
biao guianga,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
biao joaquin,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
binugao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bucana,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
buda,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
buhangin,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
bunawan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
cabantian,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
cadalian,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
calinan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
callawa,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
camansi,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
carmen,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
catalunan grande,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
catalunan pequeno,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,eb73c652-651b-4f3f-b366-d5b503a9c503
