model_scope,model_name,attempted_units,successful_units,failed_units,failure_rate,run_id,run_kind
city,prophet,1,1,0,0.0,4358a321-6c06-4a5f-9a76-be48479ab0eb,production
city,arima,1,1,0,0.0,4358a321-6c06-4a5f-9a76-be48479ab0eb,production
local,local_prophet,0,0,0,0.0,4358a321-6c06-4a5f-9a76-be48479ab0eb,production
local,local_arima,0,0,0,0.0,4358a321-6c06-4a5f-9a76-be48479ab0eb,production
city,prophet,1,1,0,0.0,896f0ade-aea9-45d6-baec-be08e2831006,production
city,arima,1,1,0,0.0,896f0ade-aea9-45d6-baec-be08e2831006,production
local,local_prophet,0,0,0,0.0,896f0ade-aea9-45d6-baec-be08e2831006,production
local,local_arima,0,0,0,0.0,896f0ade-aea9-45d6-baec-be08e2831006,production
city,prophet,1,1,0,0.0,395dbd53-f2e0-42a0-a4c1-7efa8a75c561,production
city,arima,1,1,0,0.0,395dbd53-f2e0-42a0-a4c1-7efa8a75c561,production
local,local_prophet,0,0,0,0.0,395dbd53-f2e0-42a0-a4c1-7efa8a75c561,production
local,local_arima,0,0,0,0.0,395dbd53-f2e0-42a0-a4c1-7efa8a75c561,production
city,prophet,1,1,0,0.0,1828100f-71f7-4709-af89-851fe274c3a3,production
city,arima,1,1,0,0.0,1828100f-71f7-4709-af89-851fe274c3a3,production
local,local_prophet,0,0,0,0.0,1828100f-71f7-4709-af89-851fe274c3a3,production
local,local_arima,0,0,0,0.0,1828100f-71f7-4709-af89-851fe274c3a3,production
city,prophet,1,1,0,0.0,a2b15fd1-9f1b-45b3-879c-2429ef229fe7,production
city,arima,1,1,0,0.0,a2b15fd1-9f1b-45b3-879c-2429ef229fe7,production
local,local_prophet,0,0,0,0.0,a2b15fd1-9f1b-45b3-879c-2429ef229fe7,production
local,local_arima,0,0,0,0.0,a2b15fd1-9f1b-45b3-879c-2429ef229fe7,production
city,prophet,1,1,0,0.0,ecfa42d8-fc87-405e-98d0-cd031dc6794c,production
city,arima,1,1,0,0.0,ecfa42d8-fc87-405e-98d0-cd031dc6794c,production
local,local_prophet,0,0,0,0.0,ecfa42d8-fc87-405e-98d0-cd031dc6794c,production
local,local_arima,0,0,0,0.0,ecfa42d8-fc87-405e-98d0-cd031dc6794c,production
city,prophet,1,1,0,0.0,eb73c652-651b-4f3f-b366-d5b503a9c503,production
city,arima,1,1,0,0.0,eb73c652-651b-4f3f-b366-d5b503a9c503,production
local,local_prophet,0,0,0,0.0,eb73c652-651b-4f3f-b366-d5b503a9c503,production
local,local_arima,0,0,0,0.0,eb73c652-651b-4f3f-b366-d5b503a9c503,production
city,prophet,1,1,0,0.0,6ec3cbf1-cf64-45cc-8921-07db0e69459e,production
city,arima,1,1,0,0.0,6ec3cbf1-cf64-45cc-8921-07db0e69459e,production
local,local_prophet,0,0,0,0.0,6ec3cbf1-cf64-45cc-8921-07db0e69459e,production
local,local_arima,0,0,0,0.0,6ec3cbf1-cf64-45cc-8921-07db0e69459e,production
city,prophet,1,1,0,0.0,91812205-3118-4b5c-ae06-2bd047b75f6d,production
city,arima,1,1,0,0.0,91812205-3118-4b5c-ae06-2bd047b75f6d,production
local,local_prophet,0,0,0,0.0,91812205-3118-4b5c-ae06-2bd047b75f6d,production
local,local_arima,0,0,0,0.0,91812205-3118-4b5c-ae06-2bd047b75f6d,production
