DOB,count
2015-05-18,16
2015-07-21,15
2013-09-28,15
2013-04-22,14
2013-05-06,14
2013-07-16,14
2014-08-09,14
2014-03-18,14
2014-11-11,14
2015-08-12,14
2012-12-12,13
2010-04-09,13
2010-06-05,13
2012-12-01,13
2019-05-11,13
2010-05-27,13
2010-06-10,13
2015-11-23,13
2012-08-29,13
2008-10-09,13
2014-06-06,13
2013-06-13,13
2014-06-24,13
2015-06-06,13
2011-09-06,13
2011-09-09,13
2012-10-24,13
2014-11-20,12
2014-03-01,12
2015-03-07,12
2014-10-20,12
2007-01-07,12
2011-11-10,12
2016-07-16,12
2018-11-22,12
2010-05-10,12
2013-05-05,12
2013-10-23,12
2012-08-30,12
2013-01-25,12
2014-10-09,12
2013-09-20,12
2011-05-26,12
2006-01-15,12
2014-05-01,12
2013-09-09,11
2014-02-12,11
2014-03-03,11
2010-10-30,11
2014-05-29,11
