barangay,weight,cases_in_window,window_start,window_end,alpha_smooth,run_id
acacia,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
agdao,0.011270491803278689,76.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
alambre,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
alejandra navarro,0.00351288056206089,23.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
alfonso angliongto sr,0.007611241217798595,51.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
angalan,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
atan awe,0.0002927400468384075,1.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
baganihan,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bago aplaya,0.005269320843091335,35.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bago gallera,0.012295081967213115,83.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bago oshiro,0.0032201405152224825,21.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
baguio,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
balengaeng,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
baliok,0.009806791569086652,66.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bangkas heights,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bantol,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
baracatan,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 10 a,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 11 b,0.0026346604215456673,17.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 12 b,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 13 b,0.00014637002341920375,0.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 14 b,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 15 b,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 16 b,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 17 b,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 18 b,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 19 b,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 1 a,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
