Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
baracatan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 1 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 10 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 11 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 12 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 13 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 14 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 15 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 16 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 17 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 18 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 19 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 2 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 20 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 21 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 22 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 23 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 24 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 25 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 26 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 27 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 28 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 29 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 3 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 30 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 31 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 32 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 33 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 34 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 35 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 36 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 37 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 38 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 39 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 4 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 40 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 5 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 6 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 7 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 8 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 9 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bato,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
bayabas,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
biao escuela,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
biao guianga,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
biao joaquin,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,19956bd7-9ef5-449c-bcef-a498082c348c
