Barangay_key,DOnset,0
bucana,2019-07-12,16
talomo,2023-08-13,13
talomo,2023-08-20,12
bucana,2023-08-13,12
talomo,2023-07-30,12
talomo,2019-07-20,12
bucana,2019-07-18,12
bucana,2019-06-25,12
bago gallera,2023-08-06,11
buhangin,2019-07-19,11
bucana,2019-07-24,11
talomo,2019-07-21,11
matina crossing,2019-07-11,11
talomo,2019-01-27,11
catalunan grande,2023-08-06,10
matina crossing,2019-07-13,10
talomo,2023-07-23,10
ma a,2019-06-16,10
barangay 19 b,2019-07-14,10
bucana,2019-07-10,10
ma a,2019-07-02,10
talomo,2023-08-27,9
ma a,2019-06-20,9
talomo river,2024-04-03,9
bucana,2023-07-30,9
talomo,2019-07-08,9
mintal,2019-07-10,8
talomo,2019-07-10,8
talomo,2019-07-12,8
ma a,2023-08-06,8
baliok,2023-08-27,8
talomo,2019-07-03,8
bucana,2024-08-31,8
buhangin,2019-01-09,8
talomo,2023-09-15,8
buhangin,2023-08-06,8
buhangin,2023-07-30,8
cabantian,2023-08-06,8
matina crossing,2019-07-03,8
barangay 19 b,2019-07-24,8
talomo,2019-07-07,8
buhangin,2019-01-26,8
matina crossing,2019-03-09,8
barangay 19 b,2019-07-01,8
toril,2019-07-20,8
bucana,2019-06-18,8
matina aplaya,2019-06-26,8
barangay 19 b,2019-06-30,8
matina crossing,2019-07-20,8
buhangin,2019-07-15,7
santo nino,2023-07-30,7
matina crossing,2024-08-16,7
barangay 23 c,2019-07-22,7
talomo,2023-06-15,7
buhangin,2019-07-05,7
talomo,2023-08-06,7
buhangin,2019-07-13,7
gumalang,2024-02-18,7
bucana,2019-06-20,7
cabantian,2019-03-01,7
tigatto,2019-07-01,7
cabantian,2019-02-24,7
lizada,2023-08-13,7
buhangin,2019-03-29,7
matina crossing,2019-01-26,7
ma a,2019-02-13,7
tacunan,2023-08-06,7
talomo,2019-07-18,7
toril,2019-01-01,7
catalunan pequeno,2023-08-06,7
talomo,2019-06-29,7
bucana,2019-07-09,7
bucana,2019-08-20,7
matina crossing,2024-04-22,7
bucana,2019-08-01,7
talomo,2019-06-24,6
catalunan grande,2019-02-15,6
calinan,2024-09-17,6
talomo,2019-06-26,6
calinan,2023-08-20,6
matina crossing,2019-08-16,6
talomo,2019-03-23,6
buhangin,2019-02-01,6
matina aplaya,2019-01-08,6
matina aplaya,2019-01-03,6
cabantian,2019-07-12,6
cabantian,2019-04-30,6
buhangin,2024-07-08,6
panacan,2019-07-08,6
buhangin,2024-07-22,6
buhangin,2023-08-27,6
sasa,2023-08-20,6
buhangin,2019-07-11,6
buhangin,2019-07-12,6
buhangin,2019-06-16,6
talomo,2024-08-25,6
barangay 19 b,2019-03-28,6
baliok,2019-07-06,6
toril,2024-08-20,6
buhangin,2019-03-02,6
buhangin,2019-02-21,6
buhangin,2019-01-11,6
barangay 7 a,2019-07-17,6
tibungco,2024-08-02,6
bucana,2024-02-25,6
bucana,2019-07-07,6
bucana,2019-07-20,6
bucana,2019-06-15,6
ma a,2024-09-11,6
mandug,2024-05-29,6
ma a,2024-08-09,6
bucana,2019-06-22,6
tibungco,2019-02-28,6
matina crossing,2019-06-23,6
matina crossing,2023-08-06,6
alfonso angliongto sr,2019-07-13,6
matina crossing,2019-06-13,6
talomo river,2024-06-29,6
panacan,2019-01-06,6
talomo,2019-02-13,6
talomo,2019-07-17,6
talomo,2024-07-05,6
alfonso angliongto sr,2019-07-14,6
rafael castillo,2019-01-31,6
ma a,2024-07-19,6
toril,2019-05-02,6
talomo,2019-01-19,6
talomo,2023-10-06,6
talomo,2019-07-23,6
ma a,2024-08-21,6
talomo,2019-08-02,6
talomo,2019-01-03,6
talomo,2019-01-13,6
toril,2019-06-21,6
barangay 19 b,2019-02-15,6
barangay 19 b,2019-02-22,6
bucana,2019-01-06,6
barangay 19 b,2019-04-08,6
ma a,2019-07-11,6
ma a,2019-01-10,6
barangay 19 b,2023-08-06,6
indangan,2019-07-10,6
indangan,2019-01-20,6
dumoy,2019-07-05,6
daliao,2019-07-03,6
daliao,2019-05-04,6
daliao,2019-02-19,6
daliao,2019-03-10,6
daliao,2019-01-15,6
daliao,2019-01-07,6
communal,2019-06-19,6
catalunan pequeno,2023-07-30,6
