week_start,yhat,yhat_lower,yhat_upper,model_name,horizon_type,run_id
2025-07-14,188.34876517945742,97.69875698415333,281.71499491341376,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-07-21,203.85705134611123,111.24016993791862,293.9546993608755,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-07-28,213.66630934282333,122.03115127448514,303.0917837063874,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-08-04,212.85202016843175,128.50512423555764,309.223401538826,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-08-11,202.43534896389292,110.54407334455301,298.863951090358,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-08-18,188.03831244172295,92.62603090739235,283.90142294548394,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-08-25,175.48113076523444,83.91588087503743,268.4150272018838,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-09-01,167.44319320387777,75.89361656952578,262.146738713734,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-09-08,163.25787342776144,72.03230858846355,255.663947543867,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-09-15,160.67284143746764,64.56706672214392,258.041068607826,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-09-22,157.4389573891601,63.77793031626641,254.683960309756,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
2025-09-29,152.03928182125193,68.39353754694075,239.422365714678,prophet,future,a4cbd47e-e5ee-4e63-9791-dae72beae76e
