barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
acacia,,0.001159712592966091,45.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
agdao,,0.009252489600403379,366.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alambre,,0.0012605571662674903,49.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alejandra navarro,,0.004285894365309467,169.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alfonso angliongto sr,,0.013614017395688894,539.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
angalan,,0.0017395688894491365,68.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
atan awe,,0.0007311231564351443,28.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baganihan,,0.0005042228665069961,19.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago aplaya,,0.010815580486575067,428.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago gallera,,0.013966973402243791,553.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago oshiro,,0.003126181772343376,123.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baguio,,0.0064288415479642,254.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
balengaeng,,0.0005798562964830455,22.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baliok,,0.011899659649565108,471.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bangkas heights,,0.004285894365309467,169.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bantol,,0.000781545443085844,30.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baracatan,,0.0017143577461237868,67.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 10 a,,0.0038320937854531703,151.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 11 b,,0.001663935459473087,65.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 12 b,,0.0010084457330139921,39.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 13 b,,0.00025211143325349803,9.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 14 b,,0.0011092903063153914,43.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 15 b,,0.002445480902558931,96.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 16 b,,0.001411824026219589,55.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 17 b,,0.000781545443085844,30.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 18 b,,0.00259674776251103,102.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 19 b,,0.022765662422790874,902.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 1 a,,0.0020925248960040337,82.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 20 b,,0.0020168914660279843,79.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 21 c,,0.0046640615151897135,184.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
barangay 22 c,,0.004058994075381318,160.0,2016-12-26,2025-07-07,1.0,static,a4cbd47e-e5ee-4e63-9791-dae72beae76e
