Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,a4cbd47e-e5ee-4e63-9791-dae72beae76e
