Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
acacia,446,39,45.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
agdao,446,233,366.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
alambre,446,34,49.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
alejandra navarro,446,106,169.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
alfonso angliongto sr,446,231,539.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
angalan,446,58,68.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
atan awe,446,26,28.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
baganihan,446,16,19.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bago aplaya,446,249,428.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bago gallera,446,258,553.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bago oshiro,446,87,123.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
baguio,446,139,254.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
balengaeng,446,19,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
baliok,446,226,471.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bangkas heights,446,119,169.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bantol,446,26,30.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
baracatan,446,54,67.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 1 a,446,71,82.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 10 a,446,108,151.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 11 b,446,53,65.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 12 b,446,33,41.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 13 b,446,9,9.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 14 b,446,41,43.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 15 b,446,77,96.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 16 b,446,50,55.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 17 b,446,26,30.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 18 b,446,83,102.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 19 b,446,332,902.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 2 a,446,95,112.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 20 b,446,62,79.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 21 c,446,133,184.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 22 c,446,126,160.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 23 c,446,163,230.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 24 c,446,53,68.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 25 c,446,24,28.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 26 c,446,53,62.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 27 c,446,80,91.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 28 c,446,50,57.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 29 c,446,20,21.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 3 a,446,17,19.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 30 c,446,25,26.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 31 d,446,158,233.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 32 d,446,61,71.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 33 d,446,52,63.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 34 d,446,31,33.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
