DOB,count
2015-05-18,18
2015-07-21,16
2014-05-01,16
2013-09-28,16
2011-09-09,16
2014-11-11,15
2005-11-12,15
2010-06-05,15
2010-06-10,15
2014-10-20,15
2013-09-20,15
2014-06-06,15
2013-07-16,15
2013-05-06,15
2010-04-09,15
2010-04-10,15
2012-08-29,15
2012-12-12,14
2006-01-15,14
2012-12-01,14
2013-04-22,14
2010-05-27,14
2013-05-05,14
2015-11-23,14
2015-08-12,14
2014-08-09,14
2014-10-09,14
2014-03-18,14
2006-12-19,14
2009-06-13,14
2012-08-30,14
2007-01-07,14
2011-09-06,13
2010-05-10,13
2015-06-06,13
2015-08-27,13
2012-10-24,13
2010-11-06,13
2013-04-03,13
2013-06-24,13
2013-06-14,13
2013-06-13,13
2010-02-09,13
2014-11-20,13
2014-03-15,13
2008-10-09,13
2012-07-07,13
2014-06-24,13
2014-03-03,13
2003-12-09,13
