run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,rank_reason
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,1,bucana,14.0,2.875,11.5,34.35118451705776,2.7480947613646207,True,High recent observed burden (past W: 14.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,2,catalunan grande,9.0,1.75,7.0,25.76338838779332,3.220423548474165,True,High recent observed burden (past W: 9.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,3,matina crossing,8.0,2.5,10.0,20.214350888883992,1.8376682626258174,True,High recent observed burden (past W: 8.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,4,barangay 37 d,7.0,1.25,5.0,3.302998511255554,0.5504997518759257,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,5,daliao,7.0,1.0,4.0,11.362314878719106,2.2724629757438213,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,6,toril,7.0,1.25,5.0,13.740473806823106,2.290078967803851,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,7,barangay 19 b,6.0,1.375,5.5,9.512635712415996,1.4634824172947687,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,8,buhangin,6.0,1.75,7.0,33.82270475525688,4.22783809440711,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,9,malagos,6.0,0.75,3.0,8.45567618881422,2.113919047203555,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,10,tibungco,6.0,0.875,3.5,24.57430892374132,5.460957538609183,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,11,tugbok,6.0,1.0,4.0,10.833835116918218,2.1667670233836436,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,12,bago gallera,5.0,0.75,3.0,19.157391365282216,4.789347841320554,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,13,baguio,5.0,1.125,4.5,7.398716665212441,1.3452212118568074,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,14,cadalian,5.0,0.625,2.5,1.8496791663031102,0.5284797618008886,False,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,15,los amigos,5.0,1.125,4.5,5.813277379809774,1.056959523601777,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,16,ma a,5.0,1.375,5.5,20.874950591135104,3.2115308601746313,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,17,tambobong,5.0,1.5,6.0,3.03875863035511,0.4341083757650157,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,18,barangay 40 d,4.0,0.625,2.5,0.9248395831515551,0.2642398809004443,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,19,calinan,4.0,1.0,4.0,18.496791663031104,3.699358332606221,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,20,kilate,4.0,0.75,3.0,0.792719642701333,0.19817991067533325,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,21,malabog,4.0,0.5,2.0,2.378158928103999,0.792719642701333,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,22,sasa,4.0,0.75,3.0,17.439832139429328,4.359958034857332,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,23,tagurano,4.0,0.75,3.0,1.0569595236017775,0.26423988090044437,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,24,ula,4.0,1.125,4.5,3.170878570805332,0.5765233765100604,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,25,barangay 23 c,3.0,0.625,2.5,3.831478273056443,1.0947080780161265,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,26,barangay 6 a,3.0,0.375,1.5,1.3211994045022215,0.5284797618008886,False,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,27,bunawan,3.0,0.5,2.0,17.439832139429328,5.813277379809776,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,28,cabantian,3.0,0.625,2.5,19.950111007983548,5.700031716566728,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,29,crossing bayabas,3.0,1.25,5.0,6.738116962961331,1.1230194938268885,True,High recent observed burden (past W: 3.00)
