Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
acacia,0.4366306065457115,0.3448357775476565,1.88914261312972,136.0,124.0,69.0,109.66666666666667
agdao,1.4662824588991343,1.1509281352663783,1.0381330265129927,36.0,39.0,158.0,77.66666666666667
alambre,0.8394271020567919,0.36308063214641656,1.9531929962080916,72.0,120.0,43.0,78.33333333333333
alejandra navarro,0.7104099745752638,0.6392593291915156,1.620588966874824,88.0,74.0,116.0,92.66666666666667
alfonso angliongto sr,1.2912837595606517,0.9689606319280609,1.149813666837648,42.0,45.0,148.0,78.33333333333333
angalan,0.5905027526918831,0.5674606542487377,1.7808962970752646,109.0,88.0,93.0,96.66666666666667
atan awe,0.2068184345381679,0.18831525555101475,1.985490169814464,173.0,157.0,15.0,115.0
baganihan,0.285056887400936,0.264626952242627,1.9700250715057932,157.0,139.0,30.0,108.66666666666667
bago aplaya,1.4978455450413288,1.3686722331586263,1.3722515717336852,35.0,26.0,138.0,66.33333333333333
bago gallera,2.135718414310719,1.8241131117353075,0.9168832800437241,15.0,15.0,162.0,64.0
bago oshiro,0.836851400610081,0.6866870422423852,1.6295294147274189,74.0,65.0,114.0,84.33333333333333
baguio,2.1464733972262238,1.4692525548934319,0.8858463623584145,14.0,21.0,166.0,67.0
balengaeng,0.3381169375570918,0.21244362708111492,1.9702383029120867,152.0,150.0,29.0,110.33333333333333
baliok,1.5983718371226783,1.424679838797303,1.1692361143049643,30.0,24.0,147.0,67.0
bangkas heights,1.0700096139402147,0.8510834668596102,1.579718571112117,49.0,47.0,123.0,73.0
bantol,0.1957929981460201,0.10052650554196868,1.991156677345459,178.0,175.0,7.0,120.0
baracatan,0.5471415911350288,0.35494873426865065,1.944003511396656,116.0,121.0,51.0,96.0
barangay 1 a,0.6012309673756704,0.47920867161527586,1.8461309436851854,106.0,97.0,80.0,94.33333333333333
barangay 10 a,0.902224973173282,0.5754274709301807,1.780634171957586,62.0,85.0,94.0,80.33333333333333
barangay 11 b,0.7040355494244761,0.41090983767189915,1.8659556778799091,89.0,109.0,75.0,91.0
barangay 12 b,0.31659558961855483,0.19880972245643067,1.9503597083088187,154.0,156.0,48.0,119.33333333333333
barangay 13 b,0.04505873474074371,0.044506505977295885,2.0,182.0,182.0,1.0,121.66666666666667
barangay 14 b,0.26665827158176064,0.1696835888934823,1.9670236648284078,162.0,163.0,31.0,118.66666666666667
barangay 15 b,0.4736694731066143,0.37291870885569856,1.9078182477071148,127.0,118.0,61.0,102.0
barangay 16 b,0.28513683191460115,0.22684440360049177,1.9526020595348652,156.0,145.0,44.0,115.0
barangay 17 b,0.3479057839028211,0.18323004189199774,1.9660277094153025,150.0,158.0,33.0,113.66666666666667
barangay 18 b,0.4462864512927288,0.31519298642105303,1.882313692435796,131.0,130.0,70.0,110.33333333333333
barangay 19 b,1.6785510888131212,1.2858893161523801,0.7555774514175224,26.0,29.0,176.0,77.0
