barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
acacia,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
agdao,,0.007862334965138704,52.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
alambre,,0.0008900756564307966,5.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
alejandra navarro,,0.0035603026257231864,23.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
alfonso angliongto sr,,0.007268951194184839,48.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
angalan,,0.0038569945112001186,25.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
atan awe,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
baganihan,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bago aplaya,,0.011867675419077288,79.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bago gallera,,0.021510161697077586,144.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bago oshiro,,0.004302032339415517,28.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
baguio,,0.008307372793354102,55.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
balengaeng,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
baliok,,0.012312713247292686,82.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bangkas heights,,0.005785491766800178,38.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bantol,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
baracatan,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 10 a,,0.0017801513128615932,11.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 11 b,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 12 b,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 13 b,,0.0002966918854769322,1.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 14 b,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 15 b,,0.0019284972556000593,12.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 16 b,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 17 b,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 18 b,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 19 b,,0.010680907877169559,71.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 1 a,,0.0022251891410769915,14.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 20 b,,0.001483459427384661,9.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 21 c,,0.0023735350838154576,15.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 22 c,,0.0026702269692923898,17.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 23 c,,0.004302032339415517,28.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 24 c,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 25 c,,0.0005933837709538644,3.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 26 c,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 27 c,,0.0017801513128615932,11.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 28 c,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 29 c,,0.0001483459427384661,0.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 2 a,,0.001483459427384661,9.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 30 c,,0.0005933837709538644,3.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
barangay 31 d,,0.004450378282153983,29.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
