Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
acacia,394,31,36.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
agdao,394,199,290.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
alambre,394,27,35.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
alejandra navarro,394,89,146.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
alfonso angliongto sr,394,203,488.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
angalan,394,50,59.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
atan awe,394,25,27.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
baganihan,394,14,17.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
bago aplaya,394,228,393.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
bago gallera,394,218,470.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
bago oshiro,394,73,102.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
baguio,394,98,147.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
balengaeng,394,16,18.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
baliok,394,197,405.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
bangkas heights,394,105,145.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
bantol,394,24,28.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
baracatan,394,49,59.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 1 a,394,61,68.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 10 a,394,92,126.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 11 b,394,41,48.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 12 b,394,27,33.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 13 b,394,9,9.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 14 b,394,37,39.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 15 b,394,71,88.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 16 b,394,46,51.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 17 b,394,19,23.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 18 b,394,73,91.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 19 b,394,288,795.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 2 a,394,80,95.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 20 b,394,55,68.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 21 c,394,113,155.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 22 c,394,109,134.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 23 c,394,136,189.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 24 c,394,45,59.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 25 c,394,22,26.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 26 c,394,51,60.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 27 c,394,74,85.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 28 c,394,46,51.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 29 c,394,17,18.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 3 a,394,15,15.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 30 c,394,23,24.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 31 d,394,138,204.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 32 d,394,59,69.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 33 d,394,43,53.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 34 d,394,26,26.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 35 d,394,15,15.0,False,too_sparse_nonzero_weeks+too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 36 d,394,26,28.0,False,too_few_total_cases,369df0eb-a246-456e-a1ec-fcd93062499f
barangay 37 d,394,100,128.0,True,ok,369df0eb-a246-456e-a1ec-fcd93062499f
