Barangay_key,RMSE_local_prophet,MAE_local_prophet,RMSE_local_arima,MAE_local_arima,RMSE_disagg_test,MAE_disagg_test,sMAPE_local_prophet_test,sMAPE_local_arima_test,sMAPE_disagg_test,sMAPE_best_local_test,delta_disagg_minus_local,best_local_model,Chosen,decision_reason,status,err_prophet,err_arima,run_id
acacia,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
agdao,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
alambre,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
alejandra navarro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
alfonso angliongto sr,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
angalan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
atan awe,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
baganihan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
bago aplaya,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
bago gallera,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
bago oshiro,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
baguio,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
balengaeng,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
baliok,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
bangkas heights,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
bantol,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
baracatan,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 1 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 10 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 11 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 12 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 13 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 14 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 15 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 16 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 17 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 18 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 19 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 2 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 20 b,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 21 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 22 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 23 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 24 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 25 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 26 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 27 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 28 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 29 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 3 a,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 30 c,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 31 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 32 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 33 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 34 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 35 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 36 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 37 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 38 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
barangay 39 d,,,,,,,,,,,,,disagg,local_models_disabled,disabled,,,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86
