Barangay_key,DOnset,0
talomo,2023-08-13,26
talomo,2023-08-20,24
talomo,2023-07-30,24
bucana,2023-08-13,24
bucana,2019-07-12,24
bago gallera,2023-08-06,22
catalunan grande,2023-08-06,20
talomo,2023-07-23,20
bucana,2019-06-25,20
bucana,2019-07-24,19
bucana,2019-07-18,19
talomo,2019-07-20,19
talomo,2023-08-27,18
talomo river,2024-04-03,18
bucana,2023-07-30,18
talomo,2019-07-21,17
talomo,2019-01-27,17
buhangin,2019-07-19,17
matina crossing,2019-07-11,17
buhangin,2023-07-30,16
buhangin,2023-08-06,16
baliok,2023-08-27,16
ma a,2023-08-06,16
bucana,2024-08-31,16
talomo,2023-09-15,16
cabantian,2023-08-06,16
matina crossing,2019-07-13,16
ma a,2019-06-16,15
barangay 19 b,2019-07-14,15
bucana,2019-07-10,15
ma a,2019-07-02,15
santo nino,2023-07-30,14
talomo,2023-06-15,14
catalunan pequeno,2023-08-06,14
ma a,2019-06-20,14
tacunan,2023-08-06,14
talomo,2023-08-06,14
talomo,2019-07-08,14
matina crossing,2024-04-22,14
bucana,2019-08-01,14
barangay 19 b,2019-07-24,14
lizada,2023-08-13,14
barangay 19 b,2019-06-30,14
toril,2019-07-20,14
bucana,2019-08-20,14
gumalang,2024-02-18,14
matina crossing,2024-08-16,14
talomo,2019-07-12,13
matina crossing,2019-07-03,13
talomo,2019-07-10,13
mintal,2019-07-10,12
talomo,2019-07-03,12
calinan,2024-09-17,12
toril,2024-08-20,12
talomo,2023-10-06,12
matina crossing,2023-08-06,12
talomo river,2024-06-29,12
tibungco,2024-08-02,12
catalunan pequeno,2023-07-30,12
barangay 19 b,2019-07-01,12
calinan,2023-08-20,12
barangay 19 b,2023-08-06,12
talomo,2024-08-25,12
buhangin,2024-07-22,12
buhangin,2024-07-08,12
buhangin,2023-08-27,12
buhangin,2019-01-26,12
buhangin,2019-01-09,12
bucana,2024-02-25,12
bucana,2019-06-18,12
ma a,2024-08-09,12
matina crossing,2019-07-20,12
catalunan grande,2023-07-30,12
matina crossing,2019-03-09,12
mandug,2024-05-29,12
catalunan grande,2023-07-23,12
talomo,2019-08-02,12
sasa,2023-08-20,12
ma a,2024-07-19,12
ma a,2024-09-11,12
matina crossing,2019-08-16,12
catalunan grande,2023-08-13,12
ma a,2024-08-21,12
talomo,2024-07-05,12
talomo,2019-07-07,12
matina aplaya,2019-06-26,12
cabantian,2019-03-01,11
tigatto,2019-07-01,11
bucana,2019-07-09,11
toril,2019-01-01,11
buhangin,2019-07-13,11
buhangin,2019-07-05,11
matina crossing,2019-01-26,11
ma a,2019-02-13,11
buhangin,2019-07-15,11
buhangin,2019-03-29,11
talomo,2019-07-18,11
cabantian,2019-02-24,11
talomo,2019-06-29,11
bucana,2019-06-20,11
matina crossing,2019-08-02,10
buhangin,2023-08-13,10
calinan,2024-09-10,10
buhangin,2023-06-20,10
calinan,2024-12-10,10
bago gallera,2023-07-23,10
buhangin,2019-08-19,10
talomo,2017-06-20,10
gumalang,2024-02-17,10
sasa,2019-10-10,10
matina crossing,2023-11-04,10
buhangin,2019-07-12,10
sasa,2019-08-02,10
talomo,2018-07-28,10
buhangin,2019-02-21,10
catalunan grande,2023-08-20,10
